fid,DN,ZS_Coastlinecount,ZS_Coastlinesum,ZS_Coastlinemean
"108","2",0.93789000009675,1262.782487237,1346.40788056887
"110","2",0.937890000094806,1525.0120195397,1626.00307006744
"112","2",0.93789000009675,1419.06318127442,1513.03796940796
"113","2",0.93789000009675,1466.17553418673,1563.27024921418
"115","2",2,4669.19799804688,2334.59899902344
"117","2",4,5431.90966796875,1357.97741699219
"118","2",2,3475.79296875,1737.896484375
"119","2",0.937890000081199,2538.35887808115,2706.45691697468
"120","2",0.93789000009675,2090.17795159609,2228.59605218147
"123","2",0.93789000009675,1454.42242837818,1550.73881609586
"124","2",2,1829.02166748047,914.510833740234
"126","2",7,11232.2053222656,1604.60076032366
"127","2",10,22575.5764160156,2257.55764160156
"130","2",1.8757800001935,1343.24045744776,716.097014206993
"131","2",0.937890000094806,972.513050604034,1036.91589685968
"132","2",0.93789000009675,1277.945960596,1362.57552640947
"134","2",0.93789000009675,2175.4950004273,2319.56306198262
"135","2",0.93789000009675,802.356387969556,855.490929519226
"136","2",0.93789000009675,983.014746451585,1048.11304774566
"137","2",0.93789000009675,1195.58692710797,1274.76242094983
"139","2",0.937890000079255,630.409531988352,672.157216661954
"140","2",0.937890000081199,855.043027387989,911.666642478289
"141","2",0.937890000081199,1113.14862295429,1186.8647952936
"142","2",0.937890000079256,1989.99044150074,2121.77381284861
"143","2",0.937890000081199,2219.53643897268,2366.52106193746
"145","2",107,173397.242431641,1620.53497599664
"148","2",0.93789000009675,912.277805264579,972.691685773887
"149","2",0.93789000009675,1171.96858457864,1249.57999814236
"150","2",0.93789000009675,1489.76585246491,1588.42279191721
"151","2",0.937890000094806,1908.87911356319,2035.29103985567
"153","2",0.937890000094806,1454.20234635711,1550.50415956041
"157","2",2,3944.18408203125,1972.09204101562
"158","2",47,120718.282958984,2568.47410551031
"160","2",0.937890000081199,2066.39500584915,2203.23812565465
"161","2",0.937890000094806,576.05819076698,614.206560160306
"162","2",0.937890000094806,1755.44822549155,1871.69948001802
"164","2",3,7081.3564453125,2360.4521484375
"165","2",0.93789000009675,653.402745976057,696.673112954242
"167","2",0.93789000009675,2160.4071770084,2303.47607585702
"168","2",12,7026.85760498047,585.571467081706
"171","2",0.937890000081199,1637.51304089427,1745.95425983057
"172","2",0.937890000081199,2007.49931115697,2140.44217443748
"174","2",0.93789000009675,1090.94783705973,1163.19380412115
"175","2",2,4512.390625,2256.1953125
"176","2",0.937890000094806,1054.90494043962,1124.76403451682
"177","2",3,2970.10565185547,990.035217285156
"178","2",2,4955.62573242188,2477.81286621094
"179","2",11,5644.55319213867,513.141199285334
"180","2",2,1284.47937011719,642.239685058594
"181","2",0.937890000079256,1029.90306228384,1098.10645405838
"183","2",3,1751.99401855469,583.998006184896
"184","2",0.93789000009675,924.386268610577,985.602009313694
"185","2",0.93789000009675,1041.9081405933,1110.90654606171
"187","2",14,4534.69027709961,323.906448364258
"188","2",4,1713.73434448242,428.433586120605
"189","2",17,40345.1027832031,2373.24134018842
"190","2",7,4450.65509033203,635.807870047433
"191","2",5,3932.62719726562,786.525439453125
"193","2",0.937890000081199,806.010610732731,859.387146320943
"194","2",2,2114.37780761719,1057.18890380859
"195","2",3,6706.16333007812,2235.38777669271
"197","2",0.93789000009675,817.360793192349,871.488973235701
"198","2",0.93789000009675,888.801757534778,947.660980971214
"199","2",0.937890000094806,1881.72912145683,2006.34309062535
"200","2",0.93789000009675,1927.2299316893,2054.85710636695
"201","2",0.93789000009675,782.268332175159,834.072580040796
"202","2",0.937890000094806,829.796037154117,884.747717824305
"203","2",0.93789000009675,947.65068216116,1010.40706486198
"204","2",0.93789000009675,912.28525870833,972.699632807922
"205","2",0.93789000009675,1741.82302218369,1857.1719732634
"206","2",0.937890000094806,2041.92769603297,2177.15051426774
"207","2",0.93789000009675,2159.58698007448,2302.60156292497
"208","2",27,64597.9157714844,2392.51539894387
"212","2",10,4810.20559692383,481.020559692383
"213","2",2,1180.76025390625,590.380126953125
"214","2",4,3656.26318359375,914.065795898438
"215","2",4,7194.99108886719,1798.7477722168
"217","2",0.937890000079256,1773.84854670469,1891.31832790071
"218","2",0.93789000009675,676.189205234742,720.968562587284
"219","2",2,3800.85717773438,1900.42858886719
"221","2",4,1317.76995849609,329.442489624023
"222","2",5,1041.73489379883,208.346978759766
"224","2",2,2464.69299316406,1232.34649658203
"225","2",0.937890000081199,1783.03550797981,1901.11367839026
"227","2",48,101535.606933594,2115.32514444987
"229","2",0.937890000081199,2078.89277761654,2216.5635388335
"230","2",0.93789000009675,735.057317765579,783.735105065362
"231","2",0.937890000094806,1794.85492568517,1913.71581475838
"234","2",0.93789000009675,2137.02972074341,2278.55049155333
"235","2",2,532.969329833984,266.484664916992
"237","2",2,1090.1953125,545.09765625
"238","2",2,1706.25573730469,853.127868652344
"239","2",0.93789000009675,1367.43756124059,1457.99353986025
"240","2",2.8136700002747,5454.59630103688,1938.60555804495
"241","2",0.93789000009675,1877.20606731664,2001.52050573414
"243","2",1.87578000017795,1269.75595138278,676.921574631527
"244","2",1.87578000017795,1360.07943465447,725.074067601446
"245","2",0.937890000081199,1724.20572805329,1838.38800702002
"247","2",0.937890000079256,1951.14164484653,2080.35232775875
"250","2",0.93789000009675,1962.73089575498,2092.70905495582
"252","2",44,2284.01711273193,51.9094798348167
"254","2",3,908.420013427734,302.806671142578
"256","2",2,2960.44970703125,1480.22485351562
"260","2",0.93789000009675,1700.71449533913,1813.34111160551
"262","2",0.937890000094806,300.107668046982,319.981733483293
"263","2",3,1518.23095703125,506.076985677083
