fid,DN,ZS_trackcount,ZS_tracksum,ZS_trackmean
"1","2",0.937890000094806,64.7754560109055,69.0650886610986
"2","2",0.937890000081199,68.939460431973,73.5048464382864
"4","2",6,397.588340759277,66.2647234598796
"5","2",2,111.611141204834,55.805570602417
"7","2",2,115.697612762451,57.8488063812256
"10","2",0.937890000094806,59.2643843306027,63.1890566320272
"15","2",0.93789000009675,54.4397408866099,58.04491025706
"16","2",0.93789000009675,57.9904968024156,61.8308082999429
"24","2",0.937890000079255,73.8095609587905,78.6974602059445
"25","2",0.937890000079255,75.5825286565478,80.5878393523342
"26","2",2,138.293334960938,69.1466674804688
"27","2",0.93789000009675,67.1946964832313,71.6445387799206
"28","2",1.87578000019156,140.535161162856,74.9209188436303
"32","2",3,219.033508300781,73.0111694335938
"33","2",28,9776.1471862793,349.148113795689
"36","2",2,97.7953414916992,48.8976707458496
"38","2",3,222.991508483887,74.3305028279622
"39","2",0.93789000009675,50.9039638087257,54.274982997446
"42","2",0.937890000081199,45.1892266442884,48.1817981217159
"44","2",2,148.482521057129,74.2412605285645
"45","2",9,703.176811218262,78.1307568020291
"52","2",4,173.772438049316,43.4431095123291
"53","2",0.93789000009675,47.4969303567889,50.6423251680786
"54","2",0.937890000094806,53.7514148474613,57.3110011216965
"56","2",9,491.738174438477,54.6375749376085
"58","2",0.937890000081199,99.5980951551068,106.193791538969
"62","2",2,92.8544998168945,46.4272499084473
"63","2",0.93789000009675,45.4059404085022,48.4128633462541
"66","2",2,200.094825744629,100.047412872314
"68","2",5,598.953132629395,119.790626525879
"71","2",0.93789000009675,56.6302790757169,60.3805127145775
"73","2",0.93789000009675,48.5063131995141,51.718552489642
"78","2",3,114.98509979248,38.3283665974935
"79","2",0.937890000079255,87.2564783535435,93.0348743948331
"82","2",0.937890000094806,107.505879785746,114.625254320741
"87","2",10,574.569629669189,57.4569629669189
"88","2",3,321.837493896484,107.279164632161
"89","2",2,78.8538475036621,39.4269237518311
"90","2",0.93789000009675,50.4985531056201,53.8427247336157
"92","2",2,189.275047302246,94.637523651123
"97","2",0.937890000079255,86.6476427966854,92.385719849197
"100","2",21,1818.27581787109,86.5845627557664
"101","2",2,85.3344535827637,42.6672267913818
"104","2",6,341.086479187012,56.8477465311686
"105","2",0.937890000081199,57.7414853891473,61.5653065755561
"106","2",2,161.015419006348,80.5077095031738
"108","2",0.93789000009675,43.4196160335624,46.2949983783635
"110","2",0.937890000094806,53.7703408429483,57.331180455611
"112","2",0.93789000009675,50.0296081389111,53.3427247691629
"113","2",0.93789000009675,51.789425186851,55.2190823886688
"115","2",5,422.363304138184,84.4726608276367
"117","2",5,237.040119171143,47.4080238342285
"118","2",3,185.727222442627,61.9090741475423
"119","2",0.937890000081199,93.2371677196909,99.411623656952
"120","2",0.93789000009675,76.2547165439057,81.3045416157967
"123","2",0.93789000009675,52.0966857559458,55.5466907106075
"124","2",2,62.3692684173584,31.1846342086792
"126","2",7,409.027378082275,58.4324825831822
"127","2",10,828.342651367188,82.8342651367188
"130","2",2,49.7386341094971,24.8693170547485
"131","2",0.937890000094806,34.62727155849,36.9203974399873
"132","2",0.93789000009675,46.263291127177,49.3269905025159
"134","2",0.93789000009675,80.7673097588249,86.1159728224986
"135","2",0.93789000009675,28.2268200778455,30.0960881072766
"136","2",0.93789000009675,35.3495935508975,37.6905538466675
