fid,DN,ZS_count,ZS_sum,ZS_mean,ZS_track_count,ZS_track_sum,ZS_track_mean
"15","2",1.01923475768349,413.309491139562,405.509612014143,1.01923475768349,7273.92140593319,7136.64967869158
"37","2",29,11964.329284668,412.563078781654,29,206429.750488281,7118.2672582166
"53","2",1.01923475768349,349.045665777596,342.45855839032,1.01923475768349,7322.37830960593,7184.19211511994
"58","2",2,811.710388183594,405.855194091797,2,14239.2446289062,7119.62231445312
"59","2",3,1211.68072509766,403.893575032552,3,21363.2236328125,7121.07454427083
"65","2",1.01923475768349,344.754690675132,338.248561556797,1.01923475768349,7323.73428399249,7185.52249987805
"75","2",1.01923475768349,314.734171698298,308.794582725596,1.01923475768349,7355.06999528842,7216.26685102944
"83","2",1.01923475768349,416.3387992958,408.481751782142,1.01923475768349,7245.0703148821,7108.34305861843
"85","2",1.01923475768349,408.582773080649,400.872095462357,1.01923475768349,7255.62690058751,7118.70042293105
"88","2",1.01923475768349,351.629944002053,344.994066726329,1.01923475768349,7310.80825052492,7172.84040346196
"92","2",13,5359.05560302734,412.235046386719,13,92402.7055664062,7107.9004281851
"93","2",6,2441.8117980957,406.968633015951,6,42657.0014648438,7109.50024414062
"97","2",1.01923475768349,349.456853489523,342.861986264837,1.01923475768349,7311.4849719754,7173.50435398502
"98","2",3,1017.90176391602,339.300587972005,3,21532.623046875,7177.541015625
"100","2",1.01923475768349,317.633472313578,311.639168424252,1.01923475768349,7344.96464987414,7206.35221130773
"103","2",15,6009.74493408203,400.649662272135,15,106691.924804688,7112.79498697917
"106","2",1.01923475768349,376.9885661905,369.874126984559,1.01923475768349,7283.78455587281,7146.32669359444
"107","2",1.01923475768349,342.307778096683,335.847826534759,1.01923475768349,7317.13948862112,7179.05215992775
"113","2",2,769.387817382812,384.693908691406,2,14263.2709960938,7131.63549804688
"117","2",3,1191.11968994141,397.039896647135,3,21347.1440429688,7115.71468098958
"122","2",3,1183.02941894531,394.343139648438,3,21354.59375,7118.19791666667
"124","2",1.01923475768349,257.467740891909,252.608870479534,1.01923475768349,7425.37538029635,7285.24544941214
"126","2",2,801.070068359375,400.535034179688,2,14213.666015625,7106.8330078125
"127","2",2,784.125762939453,392.062881469727,2,14236.9526367188,7118.47631835938
"134","2",1.01923475768349,321.976872352305,315.90060084302,1.01923475768349,7330.52540453563,7192.18545999783
"139","2",1.01923475768349,253.904986741821,249.113351784523,1.01923475768349,7424.62430468758,7284.50854792492
"146","2",4,1588.42483520508,397.10620880127,4,28426.8862304688,7106.72155761719
"148","2",2,775.980194091797,387.990097045898,2,14236.7001953125,7118.35009765625
"152","2",1.01923475768349,362.987042375917,356.136836621339,1.01923475768349,7287.05616551837,7149.53656219527
"155","2",1.01923475768349,236.347240886874,231.886951563585,1.01923475768349,0,0
"156","2",1.01923475768349,396.088821525607,388.613926810967,1.01923475768349,7253.06102777074,7116.18297266022
"157","2",1.01923475768349,391.18212153129,383.799824900365,1.01923475768349,7260.12113068144,7123.10983897584
"158","2",4,1395.92779541016,348.981948852539,4,28621.2788085938,7155.31970214844
"160","2",3,765.31086730957,255.103622436523,3,21799.3706054688,7266.45686848958
"162","2",4,926.350936889648,231.587734222412,4,21897.7973632812,5474.44934082031
"164","2",1.01923475768349,389.778157520576,382.422356166954,2,14246.1865234375,7123.09326171875
"168","2",1.01923475768349,314.175738436924,308.246688084873,1.01923475768349,7332.55186934192,7194.17368183879
"169","2",1.01923475768349,388.374239678736,381.04493273113,1.01923475768349,7260.03826057968,7123.02853277907
"173","2",1.01923475768349,356.341594788999,349.616800352147,1.01923475768349,7289.07775684402,7151.52000252676
"176","2",4,1010.0813293457,252.520332336426,4,29061.51171875,7265.3779296875
"179","2",1.01923475768349,384.843742383683,377.581062147402,1.01923475768349,7260.66375372315,7123.64222176363
"187","2",3,696.16162109375,232.053873697917,3,21882.2456054688,7294.08186848958
"191","2",1.01923475768349,351.98094043066,345.338439233214,1.01923475768349,7288.97422145263,7151.41842103084
